Category,Customer_ID,Website,Comment,Label,Date
A1,1105,Amazon,Product is good. And seal pack.,Positive,01.08.2024
A1,1106,Amazon,However when we go to buy again the price has been increasing from 585 to 610. Unfair price policy.,Negative,01.08.2024
A1,1107,Amazon,Cheaper than anywhere,Neutral,01.08.2024
A1,1108,Amazon,Ordered it first time and pretty satisfied with the taste texture and aroma,Positive,01.08.2024
A1,1109,Amazon,Very good quality product,Positive,01.08.2024
A1,1110,Amazon,Quick delivery iin total good.,Neutral,01.08.2024
A1,1111,Amazon,Tastes good when used for cooking.,Positive,01.08.2024
A1,1112,Amazon,"The Ghee was not of that fresh stock..taste also little bitter..
Bcoz I know nandini ghee smells really good if it's fresh n taste also good.. That's why I purchased the ghee.",Negative,01.08.2024
A1,1113,Amazon,So good I can’t resist buying it every month,Positive,01.08.2024
A1,1114,Amazon,The quality and colour is good but I have not found any Aroma of the product,Negative,01.08.2024
A1,1115,Amazon,Very Good ghee from Nandini.,Positive,01.08.2024
A1,1116,Amazon,"Original product
I like to buy again
Thank you amezon",Positive,01.08.2024
A1,1117,Amazon,Lovely ghee. Worth the price.,Positive,01.08.2024
A1,1118,Amazon,Best quality ghee as always,Positive,01.08.2024
A1,1119,Amazon,"Very good product from nandini, it's pure and tasty.",Positive,01.08.2024
A1,1120,Amazon,Its smell soo good,Positive,01.08.2024
A1,1121,Amazon,There's no consistency in quality and it has completely deteriorated. I am not even sure whether it is original or duplicate. It is very thick and smells horrible when you heat. Taste is like dalda. Thick lumps are there in the ghee which don't melt easily. Also you can see a huge difference in price online vs Nandini booth price. Looks like spurious product is being sold online,Negative,01.08.2024
A1,1122,Amazon,Good,Positive,01.08.2024
A1,1123,Amazon,Good taste and good fragrance,Positive,01.08.2024
A1,1124,Amazon,"We r using Nandini Ghee since 5+ yrs. This time purchased from Amazon. Not satisfied with this. Ghee is too thick, there is difference in colour and taste too. Even at 40°c in Bangalore the Ghee was very thick. Pure Nandini Ghee will liquify at temperature beyond 30°c. I am sure what I received was duplicate of Nandini",Negative,02.08.2024
A1,1125,Amazon,"Fake product received, found white lump with ghee",Negative,02.08.2024
A1,1126,Amazon,"The purest form of clarified butter or ghee....
I've ordered first time and Mark my words, the aroma, flavour is in its purest form,
I've not seen such kind of ghee in my LIFETIME
it's cheap compared to others, but should have been higher price.
But quality of ghee is best nowhere to be found.
Just pay for it and thank you Amazon for faster delivery, it was expected waiting for 1 month but Amazon is god, it delivered within 5 days of purchase",Positive,02.08.2024
A1,1127,Amazon,Satisfied with Quality & Delivery of Fresh,Positive,02.08.2024
A1,1128,Amazon,Good and reasonably priced product.,Positive,02.08.2024
A1,1129,Amazon,Product was damaged otherwise Nandhin products are always great.,Neutral,02.08.2024
A1,1130,Amazon,Best buy,Positive,02.08.2024
A1,1131,Amazon,It’s quite good.,Positive,02.08.2024
A1,1132,Amazon,Using from last 15years. Trusted brand with better quality and aroma.,Positive,02.08.2024
A1,1133,Amazon,"Perfect Quality, Great Taste and Healthy, Thank you so much. We are in awe of Nandini products since our childhood days.",Positive,02.08.2024
A1,1134,Amazon,Have stopped ordering nandini ghee from Amazon cos in the past few months received old stocks everytime. Earlier they used to give fresh stocks not more than a month old. However off late even got stocks more than 6 months old. Dairy products may have a shelf life but are best consumed when they are as fresh as possible. Am buying it offline since then,Negative,02.08.2024
A1,1135,Amazon,"No other Ghee comparable. Have tried ghee varieties from Pynhab, Andhra, Tamil Nadu. Their melting point perhaps low for retaining water content. Even in summer such varieties donot melt.Nandi i from KMF is like home made ghee.Flavour,consistency,long shelf life top class.",Positive,02.08.2024
A1,1136,Amazon,Quality is good but rate is less in flipcart,Neutral,02.08.2024
A1,1137,Amazon,"Will never purchase online, ghee is adulterated. I took out the white boondi from ghee and taste it, it was not even smelling and tasting like a ghee.",Negative,02.08.2024
A1,1138,Amazon,Nice n pure .good flavour,Positive,02.08.2024
A1,1139,Amazon,Excellent quality and taste,Positive,03.08.2024
A1,1140,Amazon,The ghee looks impure. It is a mixture of something which doesn't even melt when heated.,Negative,03.08.2024
A1,1141,Amazon,"This guy is prepared by the Karnataka milk federation Bangalore and it is a good ghee for use in kitchen or any other similar purpose. I am not sure that he is prepared which milk maybe cow or buffalo but it is a good guy and I give the five stars for the same.
I thanks to Amazon India for providing a platform for the product of other states p",Positive,03.08.2024
A1,1142,Amazon,Nandini Ghee is pure and good,Positive,03.08.2024
A1,1143,Amazon,"I like the flavour,texture and use it regularly.good product.",Positive,03.08.2024
A1,1144,Amazon,"I may be biased, but I have grown up using Nandini Ghee and trust the quality. Excellent flavour and taste over other commercial brands and even better that A2 advertised brands. Best price so this is superb quality for a really great price. Will buy again.",Positive,03.08.2024
A1,1145,Amazon,Wow super,Positive,03.08.2024
A1,1146,Amazon,"Liked everything about it specially for its purity, taste etc.",Positive,03.08.2024
A1,1147,Amazon,I like the packaging. But I was expecting 1kg packets. I have ordered 3kg soo i have received 6 packets of 500gm.. price is also very high according to karnataka state.. but i m getting in delhi thats a good thing..,Negative,03.08.2024
A1,1148,Amazon,Tastes best. Have been using this for years,Positive,03.08.2024
A1,1149,Amazon,"Flavour is awesome.
It's smells like home made ghee.
Nandini one of the top trusted brand.
Packaging also good.
But charged us more than MRP.
MRP is 450/- and we paid ?590/- including delivery charges.
Delivery charge is too high.",Neutral,03.08.2024
A1,1150,Amazon,The Ghee sachet of 1L delivered was of good quality and well within the expiry date for the product.,Positive,03.08.2024
A1,1151,Amazon,Flavor and aroma damn good. Go for it,Positive,03.08.2024
A1,1152,Amazon,Complete adulterated product. 50% pure ghee and 50% Vanaspati. Please do not purchase. On heating the granules take more time to melt.,Negative,03.08.2024
A1,1153,Amazon,It is a Government of Karnataka backed company product. Can be sure that it is pure and fresh.,Positive,03.08.2024
A1,1154,Flipkart,Good,Positive,03.08.2024
A1,1155,Flipkart,Very good item,Positive,03.08.2024
A1,1156,Flipkart,Awesome products,Positive,03.08.2024
A1,1157,Flipkart,Superb,Positive,03.08.2024
A1,1158,Flipkart,It's really very good product real value of money,Positive,03.08.2024
A1,1159,Flipkart,Very good product I liked it they reached at the time,Neutral,04.08.2024
A1,1160,Flipkart,Very good,Positive,04.08.2024
A1,1161,Flipkart,Very nice,Positive,04.08.2024
A1,1162,Flipkart,Nice. Good,Positive,04.08.2024
A1,1163,Flipkart,Good quality ghee in a reasonable price. Happy and using it regularly.,Positive,04.08.2024
A1,1164,Flipkart,Good,Positive,04.08.2024
A1,1165,Flipkart,Nice,Positive,04.08.2024
A1,1166,Flipkart,Nice product,Positive,04.08.2024
A1,1167,Flipkart,Super fast delivery with minimal calls.,Neutral,04.08.2024
A1,1168,Flipkart,Good,Positive,04.08.2024
A1,1169,Flipkart,Very good,Positive,04.08.2024
A1,1170,Flipkart,Good,Positive,04.08.2024
A1,1171,Flipkart,Excellent,Positive,04.08.2024
A1,1172,Flipkart,Great experience. Quick response and resolved the issue on priority basis. Thumbs up.,Positive,04.08.2024
A1,1173,Flipkart,Good,Positive,04.08.2024
A1,1174,Flipkart,Not pure,Negative,05.08.2024
A1,1175,Flipkart,Nice and cheap compared to other supermarket,Positive,05.08.2024
A1,1176,Flipkart,This is nice and good job thankyou,Positive,05.08.2024
A1,1177,Flipkart,Quality is very good,Positive,05.08.2024
A1,1178,Big Basket,"this is a dangerous and fake product..my wife and daughter fell ill over the past few days and we realised that only they had been consuming this with milk unheated ..To confirm suspicion, we placed in fridge and it turned white..on heating up the ghee it turned into clear liquid and smells of mineral oil...bright yellow liquid has also turned clear...the mineral oil is sticking to the sides of pan like a film...it is not resolidifying ..this is a serious offense...pictures are attached",Negative,05.08.2024
A1,1179,Big Basket,"I doubt the genuineness of the nadini ghee. earlier, there was no such complain. it seems the product is adulterated..",Negative,05.08.2024
A1,1180,Big Basket,Have been using nandini products for a long time. First time i ordered it on bigbasket and the other was just off and nandini ghee is yellow is colour. This was white in colour. Ended up throwing it out. Fake product.,Negative,05.08.2024
A1,1181,Big Basket,NO taste,Negative,05.08.2024
A1,1182,Big Basket,"dissapointed with ghee because of tasteless ghee and no smell, taste like ground nut oil",Negative,05.08.2024
A1,1183,Big Basket,I ordered for cow ghee.. but I got buffalo ghee,Negative,05.08.2024
A1,1184,Big Basket,quality is not good bad smell,Negative,05.08.2024
A1,1185,Big Basket,good,Positive,05.08.2024
A1,1186,Big Basket,it is not apure ghee and also it is not cow ghee as written on it,Negative,05.08.2024
A1,1187,Big Basket,"This isn’t pure gee at all, it’s totally adulterated. Bigbasket please get Nandini gee from the Nandini Parlor. This gee has turned totally tasteless and colour less after heating it.",Negative,05.08.2024
A1,1188,Big Basket,it is so pure ghee asa a home ghee,Positive,05.08.2024
A1,1189,Big Basket,Superb,Positive,05.08.2024
A1,1190,Big Basket,smell not good,Negative,05.08.2024
A1,1191,Big Basket,Don't know why but it didn't have the aroma which generally ghee has when used. Also didn't taste good,Negative,05.08.2024
A1,1192,Big Basket,the quality of ghee is really bad and it is smelly.,Negative,05.08.2024
